year,location,location_id,plant_area,crops_area,production_value,production,affected_area,lost_area,lost_amount,lost_value,plant_number,crops_number,station_id,temp_mean,temp_max,temp_min,rain_accu,rain_days,windsp_max,winddir_max,gustsp_max,gustdir_max,humid_mean,humid_min,pressure_mean,sunshine_hours,ups_price,mid_price,downs_price,avg_price_kg,amount_kg,total_sales
103,NTP,1,71,63.58,25032,1035.24,4.24,0.92,11.878,195.01,92670,80051,466900,22.8,37.6,7.1,1893.3,126,8.6,360,25.3,280,76.67,33,1011.46,1741.5,0,0,0,0,0,0
103,TPE,2,10,10.44,4609,190.61,0,0,0,0,8917,8917,466910,17.1,30.7,1.6,3887.7,182,14.9,360,36.9,360,86.83,15,921.37,1014.4,60.93,41.93,29.35,43.21,7864384,266576617
103,TYN,3,594,34.7,8875,367.05,0,0,0,0,721482,718032,466880,23.2,37.7,7.6,2369.2,152,8.8,230,22.5,240,72.17,30,1012.31,1407.7,46.94,31.29,23.94,32.95,7196739,206988304
103,TXG,4,915,591.46,170526,7052.35,0,0,0,0,1262680,1256184,467490,23.8,36.5,6.7,1466.1,113,7.9,360,22.2,360,71.83,26,1003,1962.9,45.28,33.99,26.41,35.98,4624520,141935744
103,TNN,5,1690,911.07,515248,21308.83,9.7,1.33,27.6525,255.025,3035418,2737573,467410,24.6,35.2,8.9,1268.1,94,11,360,27.7,360,74.42,28,1009.97,2273.5,42.95,31.7,25.49,31.7,1228270,36099797
103,KHH,6,78,1524.97,913886,37795.1,178.1,14.4,311.4554,4555.098,101500,96495,467440,25.6,37.6,11.1,1942,88,12.8,350,25.2,340,73.67,29,1012.16,2494.4,36.32,30.2,25.76,30.54,1142313,36661947
103,ILA,7,35,74.81,27939,1155.45,33.65,16.48,349.0438,7285.975,27369,26920,467060,22.9,35.1,9.8,2723.4,205,20.9,280,36.5,360,78.08,35,1011.05,1548.5,41.65,31.53,21.69,31.13,661790,20827721.12
103,HSZ,8,93,92.69,39614,1638.3,0,0,0,0,133453,133453,467571,23.1,38.8,6.9,1150.3,121,8,280,20.4,290,74.75,32,1010.02,1967.6,28.37,27.77,27.19,27.77,2680.5,68401.9
103,ZMI,9,94,94.12,52545,2173.1,0,0,0,0,128423,128423,466950,22,33.4,7.3,1266,140,30.8,360,44.9,360,80.67,46,1002.62,1708.1,0,0,0,0,0,0
103,CHW,10,112,106.78,65948,2727.37,12.1,3.06,93.4165,1477.024,166420,158810,467770,23.7,34.9,8.4,1154.2,112,15,360,32.2,360,79.4,47,1009.24,2105,33.02,32.48,31.8,31.9,741.5,22804.32
103,NTC,11,3120,3115.46,1551433,64161.82,47,8.9,165.2,2889.1,3906967,3900391,467650,19.2,33,5.8,2191.2,156,7.5,280,14.8,280,82.64,31,901.75,1477.5,45.28,33.99,26.41,35.98,4624520,141935744
103,YUN,12,453,439.99,336250,13906.13,21.36,4.12,79.9,1663.68,784779,760785,467610,23.8,35.1,12.7,1653.6,170,33.3,210,49.2,360,76.33,37,1008.55,1481.6,33.02,32.48,31.8,31.9,741.5,22804.32
103,CYI,13,2229,2173.12,1222559,50560.75,452.77,49.48,1128.729,21432.62,3468434,3381439,467480,23.6,37,6.8,1342.1,109,10.9,360,20,360,77.42,32,1009.48,2142,44.59,35.08,23.1,35.08,204255,6810485
103,PIF,14,3324,2903.11,1782651,73724.21,409.45,40.51,1074.553,21131,5721209,5000394,467590,25.6,35,15.6,1489,91,13.4,280,28.4,280,72.5,37,1010.38,2327.7,42.95,31.7,25.49,31.7,1228270,36099797
103,TTT,15,522,511.95,276269,11425.52,302.83,70.59,1654.694,39141.23,776639,761961,467660,24.8,37.6,12.2,1194.2,127,11.9,200,26.6,360,73.42,34,1012.14,1981,42.35,31.6,24.66,32.25,153010,4862217
103,HUN,16,576,560.78,223522,9244.07,550.27,312.65,6720.29,130558.9,885951,863061,466990,23.5,35.2,9.8,1226.6,137,24.4,350,34.6,340,76.92,37,1011.53,1679.8,41.65,31.53,21.69,31.13,661790,20827721.12
103,PEH,17,3,3.14,1261,52.16,0,0,0,0,3279,3279,467350,23.6,34.5,11,819.5,86,14.6,270,23.3,360,79.36,43,1011.95,2157.2,0,0,0,0,0,0
103,KEL,18,4,3.67,981,40.56,0,0,0,0,4789,4789,466940,22.8,38.1,8.1,2574,181,13.5,360,32.4,360,75.75,34,1010.67,1454.1,49.66,37.47,27.85,37.98,4459198,154202689
103,HSC,19,35,35.38,14128,584.3,0,0,0,0,55256,55256,466920,23.5,37.8,7.8,2147.3,140,11.3,270,26.5,290,71.83,33,1012.45,1332,28.37,27.77,27.19,27.77,2680.5,68401.9
103,CYC,20,39,39.36,18304,756.98,11,1.32,19.8,396,59040,59040,467530,11.5,25.2,-3.4,3172.4,175,7.4,350,21.2,340,84.42,13,764.74,1465.9,44.59,35.08,23.1,35.08,204255,6810485
103,KNH,21,0,0,0,0,0,0,0,0,0,0,467110,21.4,37.5,5.7,905.8,93,12.7,270,21.8,210,75,25,1011.08,1903.8,0,0,0,0,0,0
104,NTP,1,73.56,69.15,30374,1108.14,27.82,12.51,187.1109,5169.243,104047,97252,466900,23.1,37.6,8.1,1571,104,9.8,280,37.9,320,75.75,33,1011.92,1612.1,0,0,0,0,0,0
